Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag,DOY,site
5/16/2018 10:22,0.1,23.2164,1.8119,0.6589,111.783,107.807076,8.618,100.912,7.92,247.4463,105.17,6.598143634,0,0,136.4323843,ccr50
5/16/2018 10:22,0.2,23.2165,1.8196,0.656,111.783,107.807181,8.6105,100.823,7.922,247.3918,105.26,6.598128896,0,0,136.4323843,ccr50
5/16/2018 10:22,0.3,23.2167,1.7991,0.6294,111.771,107.795505,8.6094,100.809,7.922,247.3113,105.32,6.597335691,0.001,0,136.4323843,ccr50
5/16/2018 10:22,0.308,23.2165,1.7671,0.6125,111.768,107.793398,8.6094,100.81,7.924,247.3331,105.26,6.597174232,0.001,0,136.4323843,ccr50
5/16/2018 10:22,0.308,23.2164,1.7446,0.6036,111.755,107.781712,8.607,100.783,7.926,247.4832,105.21,6.596361532,0.002,0,136.4323843,ccr50
5/16/2018 10:22,0.309,23.2159,1.7377,0.6135,111.754,107.781702,8.6021,100.727,7.926,247.6638,105.06,6.596371559,0.002,0,136.4323843,ccr50
5/16/2018 10:22,0.311,23.2157,1.7202,0.6408,111.765,107.793282,8.5956,100.652,7.926,247.7968,104.95,6.597100979,0.001,0,136.4323843,ccr50
5/16/2018 10:22,0.311,23.216,1.6897,0.6591,111.765,107.79423,8.5894,100.58,7.926,247.8861,105.01,6.597056702,0,0,136.4323843,ccr50
5/16/2018 10:22,0.311,23.2167,1.6819,0.652,111.762,107.793167,8.5827,100.503,7.926,248.0555,105.07,6.596762693,-0.001,0,136.4323843,ccr50
5/16/2018 10:22,0.31,23.2173,1.6902,0.615,111.747,107.780437,8.5728,100.389,7.925,248.2095,105.16,6.595719723,-0.002,0,136.4323843,ccr50
5/16/2018 10:22,0.309,23.2177,1.7167,0.6095,111.733,107.767802,8.5626,100.269,7.92,248.2001,105.25,6.594769895,-0.002,0,136.4323843,ccr50
5/16/2018 10:22,0.307,23.2181,1.7721,0.6464,111.733,107.767897,8.5546,100.176,7.915,248.1997,105.3,6.594711043,-0.001,0,136.4323843,ccr50
5/16/2018 10:22,0.307,23.2185,1.8084,0.6639,111.748,107.781595,8.5482,100.102,7.911,248.2898,105.44,6.595606855,0.001,0,136.4323843,ccr50
5/16/2018 10:22,0.308,23.2196,1.8067,0.6691,111.774,107.805926,8.5432,100.043,7.909,248.3434,105.49,6.597099353,0.002,0,136.4323843,ccr50
5/16/2018 10:22,0.309,23.2204,1.7973,0.6795,111.774,107.807085,8.5411,100.018,7.908,248.3319,105.39,6.596981335,0.004,0,136.4323843,ccr50
5/16/2018 10:22,0.311,23.2203,1.7959,0.6669,111.759,107.79561,8.5426,100.038,7.908,248.2373,105.28,6.596041357,0.005,0,136.4323843,ccr50
5/16/2018 10:22,0.312,23.2198,1.7991,0.6388,111.755,107.79467,8.5473,100.095,7.908,248.0592,105.09,6.595860397,0.007,0,136.4323843,ccr50
5/16/2018 10:22,0.313,23.2195,1.7994,0.6453,111.755,107.795734,8.5557,100.194,7.912,247.8137,104.8,6.595904524,0.01,0,136.4323843,ccr50
5/16/2018 10:22,0.314,23.2198,1.7715,0.684,111.768,107.808475,8.5672,100.329,7.918,247.5059,104.39,6.596687562,0.014,0,136.4323843,ccr50
5/16/2018 10:22,0.318,23.2211,1.7192,0.709,111.781,107.821223,8.5785,100.461,7.923,247.3494,103.75,6.597323105,0.019,0,136.4323843,ccr50
5/16/2018 10:22,0.324,23.2227,1.6912,0.7038,111.782,107.822373,8.586,100.55,7.928,247.4704,103.08,6.597150569,0.024,0,136.4323843,ccr50
5/16/2018 10:22,0.331,23.2234,1.6897,0.683,111.784,107.822373,8.5876,100.567,7.934,247.5912,102.25,6.597174145,0.028,0,136.4323843,ccr50
5/16/2018 10:22,0.341,23.2229,1.6913,0.6711,111.787,107.821224,8.583,100.51,7.939,247.5192,101.03,6.597438102,0.03,0,136.4323843,ccr50
5/16/2018 10:22,0.35,23.2232,1.6832,0.6816,111.776,107.808465,8.5751,100.417,7.942,247.7195,100.13,6.59669322,0.03,0,136.4323843,ccr50
5/16/2018 10:22,0.358,23.2236,1.6658,0.688,111.763,107.79561,8.5675,100.327,7.944,248.0333,99.444,6.595806495,0.03,0,136.4323843,ccr50
5/16/2018 10:22,0.364,23.2224,1.6561,0.657,111.76,107.793293,8.562,100.263,7.945,247.7002,98.619,6.595791954,0.029,0,136.4323843,ccr50
5/16/2018 10:22,0.37,23.2202,1.6761,0.6417,111.747,107.780447,8.5624,100.266,7.944,247.1329,98.007,6.595288423,0.026,0,136.4323843,ccr50
5/16/2018 10:22,0.376,23.2191,1.723,0.6862,111.736,107.767782,8.5682,100.334,7.941,246.7667,97.257,6.594750025,0.023,0,136.4323843,ccr50
5/16/2018 10:22,0.384,23.2198,1.7545,0.707,111.737,107.767657,8.5758,100.42,7.939,246.5421,96.787,6.594710002,0.022,0,136.4323843,ccr50
5/16/2018 10:22,0.39,23.2201,1.7543,0.6791,111.751,107.778942,8.5844,100.52,7.941,246.5688,96.716,6.595556252,0.022,0,136.4323843,ccr50
5/16/2018 10:22,0.393,23.2195,1.7392,0.6541,111.749,107.776721,8.5928,100.618,7.943,246.659,96.155,6.595517295,0.023,0,136.4323843,ccr50
5/16/2018 10:22,0.396,23.2188,1.728,0.6193,111.711,107.7408,8.5986,100.686,7.943,246.5148,95.284,6.593202017,0.027,0,136.4323843,ccr50
5/16/2018 10:22,0.403,23.218,1.7287,0.5943,111.695,107.72711,8.5991,100.694,7.94,246.2017,94.465,6.592301136,0.033,0,136.4323843,ccr50
5/16/2018 10:22,0.412,23.2173,1.7302,0.6258,111.709,107.738701,8.5949,100.644,7.933,246.1429,93.29,6.593294534,0.04,0,136.4323843,ccr50
5/16/2018 10:22,0.422,23.2167,1.7274,0.6643,111.729,107.753445,8.59,100.583,7.926,246.4925,91.397,6.594654953,0.048,0,136.4323843,ccr50
5/16/2018 10:22,0.437,23.2172,1.722,0.6634,111.759,107.777872,8.586,100.531,7.916,246.9007,89.074,6.596489579,0.054,0,136.4323843,ccr50
5/16/2018 10:22,0.454,23.2184,1.7016,0.6452,111.764,107.779039,8.5811,100.471,7.906,247.1207,86.436,6.596629799,0.057,0,136.4323843,ccr50
5/16/2018 10:22,0.472,23.2179,1.6835,0.6581,111.755,107.767556,8.5781,100.434,7.901,247.345,83.925,6.596129385,0.058,0,136.4323843,ccr50
5/16/2018 10:22,0.487,23.2153,1.6862,0.698,111.756,107.766521,8.5808,100.463,7.902,247.8058,82.382,6.596575004,0.057,0,136.4323843,ccr50
5/16/2018 10:22,0.5,23.213,1.6885,0.6996,111.756,107.766521,8.5878,100.544,7.909,248.3038,81.12,6.596913158,0.056,0,136.4323843,ccr50
5/16/2018 10:22,0.512,23.2115,1.6843,0.6767,111.758,107.767558,8.5955,100.634,7.919,248.6347,80.025,6.597260744,0.055,0,136.4323843,ccr50
5/16/2018 10:22,0.525,23.2101,1.6805,0.6657,111.771,107.779053,8.6001,100.686,7.927,248.968,79.46,6.598293654,0.054,0,136.4323843,ccr50
5/16/2018 10:22,0.54,23.2095,1.6805,0.6584,111.77,107.777999,8.6026,100.716,7.933,249.4081,78.907,6.598317471,0.054,0,136.4323843,ccr50
5/16/2018 10:22,0.555,23.2094,1.6927,0.6796,111.745,107.754816,8.6059,100.755,7.938,249.8263,78.532,6.596739771,0.053,0,136.4323843,ccr50
5/16/2018 10:22,0.57,23.2091,1.7176,0.7089,111.743,107.753752,8.6105,100.81,7.942,250.1524,78.233,6.596655636,0.052,0,136.4323843,ccr50
5/16/2018 10:22,0.584,23.2087,1.7423,0.6764,111.754,107.765132,8.6138,100.85,7.943,250.3393,77.69,6.597413804,0.048,0,136.4323843,ccr50
5/16/2018 10:22,0.596,23.2083,1.7526,0.6543,111.754,107.764913,8.6104,100.81,7.943,250.4518,76.632,6.597471996,0.043,0,136.4323843,ccr50
5/16/2018 10:22,0.605,23.2088,1.7508,0.6854,111.739,107.7511,8.599,100.676,7.941,250.5654,75.297,6.596442879,0.035,0,136.4323843,ccr50
5/16/2018 10:22,0.615,23.2095,1.7481,0.6861,111.714,107.725619,8.5815,100.471,7.938,250.5939,74.217,6.59474782,0.026,0,136.4323843,ccr50
5/16/2018 10:22,0.622,23.2097,1.7469,0.662,111.701,107.711815,8.562,100.242,7.936,250.6244,73.486,6.593890282,0.02,0,136.4323843,ccr50
5/16/2018 10:22,0.625,23.2099,1.7457,0.6383,111.702,107.711701,8.5467,100.062,7.938,250.6768,73.433,6.593924264,0.017,0,136.4323843,ccr50
5/16/2018 10:22,0.623,23.2099,1.743,0.6447,111.716,107.724241,8.5395,99.977,7.94,250.7973,73.679,6.59481564,0.017,0,136.4323843,ccr50
5/16/2018 10:22,0.623,23.2097,1.742,0.6773,111.73,107.735927,8.5408,99.991,7.942,250.963,73.742,6.595736425,0.016,0,136.4323843,ccr50
5/16/2018 10:22,0.63,23.2091,1.7421,0.6666,111.721,107.725493,8.5482,100.076,7.943,250.873,73.793,6.595251409,0.015,0,136.4323843,ccr50
5/16/2018 10:22,0.641,23.2082,1.736,0.6379,111.722,107.725588,8.5602,100.214,7.944,250.6561,73.966,6.595446625,0.012,0,136.4323843,ccr50
5/16/2018 10:22,0.648,23.2077,1.7142,0.6344,111.736,107.737075,8.5737,100.37,7.947,250.5771,74.226,6.596410967,0.01,0,136.4323843,ccr50
5/16/2018 10:22,0.648,23.2071,1.6893,0.6553,111.738,107.736874,8.5858,100.51,7.95,250.6921,74.599,6.596626696,0.01,0,136.4323843,ccr50
5/16/2018 10:22,0.644,23.2066,1.683,0.6777,111.725,107.723157,8.5966,100.635,7.95,250.9276,75.04,6.595873269,0.011,0,136.4323843,ccr50
5/16/2018 10:22,0.64,23.2056,1.6841,0.6914,111.7,107.698721,8.605,100.734,7.948,251.1024,74.966,6.594429702,0.013,0,136.4323843,ccr50
5/16/2018 10:22,0.642,23.2046,1.6941,0.6985,111.698,107.696415,8.6088,100.779,7.944,251.2563,74.328,6.594449573,0.017,0,136.4323843,ccr50
