attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir	character			NA	value is missing
Site	"Sampling site within each reservoir; 50=Deep hole or site nearest to dam in each reservoir, 100=Inflow stream of Falling Creek Reservoir, 20=Upstream pelagic site nearest to inflow stream at Falling Creek Reservoir"	numeric	dimensionless		NA	value is missing
DateTime	"Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time not observed, GMT -4"	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
ThermistorTemp_C_surface	water temperature at the surface as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_1	water temperature at 1 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_2	water temperature at 2 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_3	water temperature at 3 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_4	water temperature at 4 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_5	water temperature at 5 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_6	water temperature at 6 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_7	water temperature at 7 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_8	water temperature at 8 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_9	water temperature at 9 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
RDO_mgL_5	Dissolved Oxygen (DO) concentration at 5 meter depth as measured by the RDO Sensor	numeric	milligramsPerLiter		NA	value is missing
RDOsat_percent_5	Dissolved Oxygen (DO) percent saturation at 5 meter depth as measured by the RDO Sensor	numeric	dimensionless		NA	value is missing
RDOTemp_C_5	Water temperature as measured by the DO sonde at 5 meter depth as measured by the RDO Sensor	numeric	celsius		NA	value is missing
RDO_mgL_9	Dissolved Oxygen (DO) concentration at 9 meter depth as measured by the RDO Sensor	numeric	milligramsPerLiter		NA	value is missing
RDOsat_percent_9	Dissolved Oxygen (DO) percent saturation at 9 meter depth as measured by the RDO Sensor	numeric	dimensionless		NA	value is missing
RDOTemp_C_9	Water temperature as measured by the DO sonde at 9 meter depth as measured by the RDO Sensor	numeric	celsius		NA	value is missing
EXOTemp_C_1	water temperature at 1 meter depth as measured by the EXO Sonde	numeric	celsius		NA	value is missing
EXOCond_uScm_1	Conductivity at 1 meter depth as measured by the EXO Sonde	numeric	microSiemensPerCentimeter		NA	value is missing
EXOSpCond_uScm_1	Specific conductivity at 1 meter depth as measured by the EXO Sonde	numeric	microSiemensPerCentimeter		NA	value is missing
EXOTDS_mgL_1	Total Dissolved Solids (TDS) at 1 meter depth as measured by the EXO Sonde as measured by the EXO Sonde	numeric	milligramsPerLiter		NA	value is missing
EXODOsat_percent_1	Dissolved Oxygen percent saturation at 1 meter depth as measured by the EXO Sonde	numeric	dimensionless		NA	value is missing
EXODO_mgL_1	Dissolved Oxygen at 1 meter depth as measured by the EXO Sonde	numeric	milligramsPerLiter		NA	value is missing
