Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
4/1/2019 9:02:41 AM	5.43	0.00	0.00	0.00	0.00	0.00	0.00	0.21	5.43	98.08	0.62	11.73	2877	0	0	0	0	0	0	0	2877	170.96	3.92	0.96	5.71	9.69	6.76	19.07	1.06	25.91	8.29
4/1/2019 9:02:44 AM	4.08	0.03	0.71	0.10	0.00	0.00	0.00	0.18	4.92	98.17	0.62	11.79	2163	26	321	3	0	0	0	0	2514	171.11	5.31	1.61	5.84	9.01	7.47	17.76	1.06	25.97	8.30
4/1/2019 9:02:46 AM	5.01	0.12	0.00	0.17	0.00	0.00	0.00	0.34	5.30	98.06	0.62	12.07	2653	124	0	5	0	0	0	0	2782	170.91	4.82	2.47	6.88	10.99	7.81	19.23	1.06	26.02	8.30
4/1/2019 9:02:49 AM	4.95	0.03	0.00	0.30	0.00	0.00	0.00	0.20	5.28	98.31	0.63	12.33	2622	29	0	9	0	0	0	0	2659	171.35	4.67	1.76	6.20	9.59	8.39	18.43	1.06	26.10	8.34
4/1/2019 9:02:51 AM	4.48	0.22	0.00	0.00	0.00	0.00	0.00	0.44	4.70	97.64	0.64	12.38	2375	222	0	0	0	0	0	0	2597	170.18	3.56	1.21	6.53	11.20	7.47	17.66	1.06	26.19	8.32
4/1/2019 9:02:53 AM	5.75	0.15	0.00	0.00	0.00	0.00	0.00	0.18	5.90	97.48	0.65	12.36	3045	155	0	0	0	0	0	0	3200	169.90	4.40	0.09	7.37	10.13	7.97	19.57	1.06	26.21	8.32
4/1/2019 9:02:56 AM	4.30	0.25	0.60	0.00	0.00	0.00	0.00	0.33	5.15	97.81	0.67	12.39	2277	250	271	0	0	0	0	0	2797	170.48	5.49	0.85	6.64	10.61	8.41	18.75	1.07	26.29	8.34
4/1/2019 9:02:58 AM	3.17	0.38	0.90	0.00	0.00	0.00	0.00	0.47	4.45	98.74	0.70	12.37	1678	379	405	0	0	0	0	0	2462	172.09	5.97	1.75	7.11	11.05	7.78	17.60	1.07	26.35	8.34
4/1/2019 9:03:00 AM	5.06	0.00	0.00	0.04	0.00	0.00	0.00	0.38	5.10	97.75	0.73	12.45	2680	0	0	1	0	0	0	0	2682	170.38	4.36	1.47	4.50	10.90	7.91	19.32	1.07	26.42	8.33
4/1/2019 9:03:03 AM	5.42	0.06	0.29	0.06	0.00	0.00	0.00	0.23	5.82	98.43	0.74	12.42	2870	57	130	2	0	0	0	0	3059	171.56	5.12	1.24	6.45	10.58	8.35	20.35	1.07	26.46	8.33
