Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/23/2019 9:18:31 AM	0.00	0.16	0.62	0.27	0.00	0.00	0.00	0.19	1.04	100.00	0.28	22.09	0	155	278	8	0	0	0	0	441	175.49	3.56	-0.74	2.49	3.46	6.26	4.95	1.03	36.27	11.78
5/23/2019 9:18:33 AM	1.20	0.46	0.03	0.00	0.00	0.00	0.00	0.17	1.68	100.00	0.36	22.16	634	455	14	0	0	0	0	0	1104	177.90	2.04	0.88	5.03	3.77	5.07	5.08	1.04	36.39	11.79
5/23/2019 9:18:35 AM	0.00	0.20	0.00	0.48	0.00	0.00	0.00	0.39	0.68	100.00	0.45	22.13	0	201	0	14	0	0	0	0	215	176.07	2.97	1.95	3.29	5.02	5.68	4.72	1.04	36.44	11.82
5/23/2019 9:18:38 AM	1.14	0.04	0.00	0.46	0.00	0.00	0.00	0.07	1.65	100.00	0.47	22.12	605	43	0	14	0	0	0	0	662	176.02	2.64	1.79	3.64	3.13	5.43	5.88	1.05	36.49	11.84
5/23/2019 9:18:40 AM	0.00	0.30	0.68	0.00	0.00	0.00	0.00	0.57	0.98	100.00	0.50	22.10	0	299	308	0	0	0	0	0	606	177.37	5.04	1.38	4.35	7.42	3.86	6.52	1.05	36.59	11.80
5/23/2019 9:18:43 AM	1.27	0.30	0.10	0.14	0.00	0.00	0.00	0.22	1.80	100.00	0.50	22.06	671	301	43	4	0	0	0	0	1020	176.72	2.61	1.06	4.12	4.65	5.84	6.59	1.05	36.64	11.85
5/23/2019 9:18:45 AM	0.12	0.33	0.54	0.00	0.00	0.00	0.00	0.43	0.99	100.00	0.59	22.07	63	330	245	0	0	0	0	0	638	175.65	3.49	-1.22	4.88	5.73	4.00	5.94	1.06	36.69	11.87
5/23/2019 9:18:47 AM	1.51	0.43	0.64	0.00	0.00	0.00	0.00	0.00	2.58	100.00	0.64	22.15	800	431	286	0	0	0	0	0	1518	177.73	3.10	0.66	5.21	2.74	6.51	7.68	1.06	36.78	11.84
5/23/2019 9:18:50 AM	1.41	0.28	0.33	0.00	0.00	0.00	0.00	0.10	2.02	100.00	0.71	22.14	749	278	148	0	0	0	0	0	1175	176.85	2.48	1.87	4.85	3.78	4.44	6.49	1.07	36.86	11.84
5/23/2019 9:18:52 AM	0.37	0.00	0.00	0.32	0.00	0.00	0.00	0.48	0.69	100.00	0.78	22.13	196	0	0	10	0	0	0	0	206	176.94	2.85	2.40	1.42	5.73	4.41	6.47	1.08	36.95	11.83
5/23/2019 9:18:54 AM	2.18	0.32	0.00	0.00	0.00	0.00	0.00	0.39	2.50	100.00	0.85	22.13	1158	320	0	0	0	0	0	0	1477	178.06	2.58	1.08	4.62	7.39	6.23	9.90	1.08	36.99	11.85
5/23/2019 9:18:57 AM	0.31	0.08	0.00	0.32	0.00	0.00	0.00	0.59	0.72	100.00	0.89	22.11	165	81	0	10	0	0	0	0	256	177.88	2.58	2.39	2.77	7.11	4.89	6.78	1.09	37.08	11.87
5/23/2019 9:18:59 AM	1.86	0.68	0.00	0.00	0.00	0.00	0.00	0.42	2.54	100.00	0.93	22.10	986	679	0	0	0	0	0	0	1666	178.00	2.30	1.14	6.59	7.61	6.96	9.24	1.09	37.13	11.87
5/23/2019 9:19:02 AM	0.40	0.19	0.00	0.25	0.00	0.00	0.00	0.38	0.83	100.00	0.96	22.11	210	186	0	7	0	0	0	0	404	178.13	2.34	0.95	2.88	4.94	5.31	5.04	1.09	37.21	11.89
