
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_BV_20181119,,Exported,"Aqua4Plus 1.9.10"
# Records,  7787 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-13.31,13.487,
,Maximum,21.94,14.162,
,Mean,3.99,13.905,
,Variance,30.705,0.0108,
,Std Deviation,5.541,0.1037,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,19-Nov-18 12:00:00,14.38,13.912
2,19-Nov-18 12:15:00,14.06,13.907
3,19-Nov-18 12:30:00,14.25,13.902
4,19-Nov-18 12:45:00,14.38,13.899
5,19-Nov-18 13:00:00,14.44,13.895
6,19-Nov-18 13:15:00,14.50,13.894
7,19-Nov-18 13:30:00,14.69,13.889
8,19-Nov-18 13:45:00,14.88,13.887
9,19-Nov-18 14:00:00,15.06,13.886
10,19-Nov-18 14:15:00,15.00,13.885
11,19-Nov-18 14:30:00,14.94,13.881
12,19-Nov-18 14:45:00,15.13,13.880
13,19-Nov-18 15:00:00,15.38,13.877
14,19-Nov-18 15:15:00,15.50,13.876
15,19-Nov-18 15:30:00,15.38,13.876
16,19-Nov-18 15:45:00,15.31,13.874
17,19-Nov-18 16:00:00,15.13,13.873
18,19-Nov-18 16:15:00,14.81,13.873
19,19-Nov-18 16:30:00,14.38,13.870
20,19-Nov-18 16:45:00,13.81,13.871
21,19-Nov-18 17:00:00,12.94,13.868
22,19-Nov-18 17:15:00,12.13,13.868
23,19-Nov-18 17:30:00,11.44,13.867
24,19-Nov-18 17:45:00,10.88,13.870
25,19-Nov-18 18:00:00,10.25,13.870
26,19-Nov-18 18:15:00,10.00,13.867
27,19-Nov-18 18:30:00,9.56,13.868
28,19-Nov-18 18:45:00,9.25,13.867
29,19-Nov-18 19:00:00,8.94,13.869
30,19-Nov-18 19:15:00,8.88,13.867
31,19-Nov-18 19:30:00,8.94,13.868
32,19-Nov-18 19:45:00,8.88,13.865
33,19-Nov-18 20:00:00,8.88,13.866
34,19-Nov-18 20:15:00,8.75,13.865
35,19-Nov-18 20:30:00,8.44,13.861
36,19-Nov-18 20:45:00,8.13,13.864
37,19-Nov-18 21:00:00,7.94,13.859
38,19-Nov-18 21:15:00,7.94,13.859
39,19-Nov-18 21:30:00,7.94,13.858
40,19-Nov-18 21:45:00,7.88,13.859
41,19-Nov-18 22:00:00,7.88,13.858
42,19-Nov-18 22:15:00,7.94,13.856
43,19-Nov-18 22:30:00,8.00,13.854
44,19-Nov-18 22:45:00,8.06,13.853
45,19-Nov-18 23:00:00,8.00,13.850
46,19-Nov-18 23:15:00,7.75,13.850
47,19-Nov-18 23:30:00,7.50,13.849
48,19-Nov-18 23:45:00,7.31,13.848
49,20-Nov-18 00:00:00,7.06,13.846
50,20-Nov-18 00:15:00,6.94,13.846
51,20-Nov-18 00:30:00,6.69,13.845
52,20-Nov-18 00:45:00,6.63,13.845
53,20-Nov-18 01:00:00,6.75,13.844
54,20-Nov-18 01:15:00,6.88,13.843
55,20-Nov-18 01:30:00,7.50,13.840
56,20-Nov-18 01:45:00,8.88,13.842
57,20-Nov-18 02:00:00,9.63,13.844
58,20-Nov-18 02:15:00,9.88,13.843
59,20-Nov-18 02:30:00,9.63,13.842
60,20-Nov-18 02:45:00,9.25,13.841
61,20-Nov-18 03:00:00,8.94,13.842
62,20-Nov-18 03:15:00,8.63,13.839
63,20-Nov-18 03:30:00,8.31,13.840
64,20-Nov-18 03:45:00,8.25,13.839
65,20-Nov-18 04:00:00,8.25,13.838
66,20-Nov-18 04:15:00,8.38,13.838
67,20-Nov-18 04:30:00,8.81,13.841
68,20-Nov-18 04:45:00,9.38,13.840
69,20-Nov-18 05:00:00,9.56,13.841
70,20-Nov-18 05:15:00,9.69,13.844
71,20-Nov-18 05:30:00,9.75,13.843
72,20-Nov-18 05:45:00,9.75,13.846
73,20-Nov-18 06:00:00,9.75,13.849
74,20-Nov-18 06:15:00,9.69,13.850
75,20-Nov-18 06:30:00,9.63,13.852
76,20-Nov-18 06:45:00,9.63,13.856
77,20-Nov-18 07:00:00,9.63,13.856
78,20-Nov-18 07:15:00,9.56,13.854
79,20-Nov-18 07:30:00,9.50,13.856
80,20-Nov-18 07:45:00,9.50,13.861
81,20-Nov-18 08:00:00,9.56,13.863
82,20-Nov-18 08:15:00,9.50,13.865
83,20-Nov-18 08:30:00,9.50,13.867
84,20-Nov-18 08:45:00,9.69,13.870
85,20-Nov-18 09:00:00,12.00,13.869
86,20-Nov-18 09:15:00,13.38,13.875
87,20-Nov-18 09:30:00,12.94,13.877
88,20-Nov-18 09:45:00,13.56,13.880
89,20-Nov-18 10:00:00,14.31,13.881
90,20-Nov-18 10:15:00,14.25,13.883
91,20-Nov-18 10:30:00,13.88,13.887
92,20-Nov-18 10:45:00,14.69,13.887
93,20-Nov-18 11:00:00,13.88,13.890
94,20-Nov-18 11:15:00,12.31,13.891
95,20-Nov-18 11:30:00,12.69,13.891
96,20-Nov-18 11:45:00,13.25,13.889
97,20-Nov-18 12:00:00,12.69,13.885
98,20-Nov-18 12:15:00,12.25,13.889
99,20-Nov-18 12:30:00,11.81,13.887
100,20-Nov-18 12:45:00,11.44,13.883
101,20-Nov-18 13:00:00,11.19,13.884
102,20-Nov-18 13:15:00,10.94,13.884
103,20-Nov-18 13:30:00,11.06,13.886
104,20-Nov-18 13:45:00,11.44,13.887
105,20-Nov-18 14:00:00,11.56,13.890
106,20-Nov-18 14:15:00,11.56,13.894
107,20-Nov-18 14:30:00,11.19,13.895
108,20-Nov-18 14:45:00,11.19,13.899
109,20-Nov-18 15:00:00,10.94,13.900
110,20-Nov-18 15:15:00,10.50,13.902
111,20-Nov-18 15:30:00,10.13,13.905
112,20-Nov-18 15:45:00,9.50,13.908
113,20-Nov-18 16:00:00,8.88,13.909
114,20-Nov-18 16:15:00,8.56,13.915
115,20-Nov-18 16:30:00,8.25,13.914
116,20-Nov-18 16:45:00,7.75,13.917
117,20-Nov-18 17:00:00,7.38,13.919
118,20-Nov-18 17:15:00,7.13,13.922
119,20-Nov-18 17:30:00,6.81,13.920
120,20-Nov-18 17:45:00,6.56,13.923
121,20-Nov-18 18:00:00,6.38,13.924
122,20-Nov-18 18:15:00,6.13,13.926
123,20-Nov-18 18:30:00,5.94,13.928
124,20-Nov-18 18:45:00,5.75,13.930
125,20-Nov-18 19:00:00,5.69,13.932
126,20-Nov-18 19:15:00,5.63,13.932
127,20-Nov-18 19:30:00,5.44,13.932
128,20-Nov-18 19:45:00,5.19,13.936
129,20-Nov-18 20:00:00,5.06,13.938
130,20-Nov-18 20:15:00,5.00,13.939
131,20-Nov-18 20:30:00,4.81,13.940
132,20-Nov-18 20:45:00,4.69,13.938
133,20-Nov-18 21:00:00,4.56,13.940
134,20-Nov-18 21:15:00,4.31,13.942
135,20-Nov-18 21:30:00,4.19,13.942
136,20-Nov-18 21:45:00,4.19,13.944
137,20-Nov-18 22:00:00,4.19,13.948
138,20-Nov-18 22:15:00,4.19,13.947
139,20-Nov-18 22:30:00,4.13,13.949
140,20-Nov-18 22:45:00,4.13,13.951
141,20-Nov-18 23:00:00,4.06,13.951
142,20-Nov-18 23:15:00,4.06,13.952
143,20-Nov-18 23:30:00,3.94,13.953
144,20-Nov-18 23:45:00,3.69,13.953
145,21-Nov-18 00:00:00,3.50,13.951
146,21-Nov-18 00:15:00,3.13,13.950
147,21-Nov-18 00:30:00,2.69,13.948
148,21-Nov-18 00:45:00,2.56,13.947
149,21-Nov-18 01:00:00,2.75,13.945
150,21-Nov-18 01:15:00,2.69,13.943
151,21-Nov-18 01:30:00,2.44,13.942
152,21-Nov-18 01:45:00,2.38,13.944
153,21-Nov-18 02:00:00,2.31,13.942
154,21-Nov-18 02:15:00,2.19,13.939
155,21-Nov-18 02:30:00,2.13,13.940
156,21-Nov-18 02:45:00,1.88,13.942
157,21-Nov-18 03:00:00,1.75,13.941
158,21-Nov-18 03:15:00,1.75,13.940
159,21-Nov-18 03:30:00,1.75,13.939
160,21-Nov-18 03:45:00,1.75,13.939
161,21-Nov-18 04:00:00,1.56,13.939
162,21-Nov-18 04:15:00,1.44,13.937
163,21-Nov-18 04:30:00,1.38,13.938
164,21-Nov-18 04:45:00,1.38,13.936
165,21-Nov-18 05:00:00,1.31,13.936
166,21-Nov-18 05:15:00,1.50,13.935
167,21-Nov-18 05:30:00,1.56,13.939
168,21-Nov-18 05:45:00,1.50,13.940
169,21-Nov-18 06:00:00,1.44,13.942
170,21-Nov-18 06:15:00,1.44,13.941
171,21-Nov-18 06:30:00,1.44,13.942
172,21-Nov-18 06:45:00,1.31,13.941
173,21-Nov-18 07:00:00,1.31,13.944
174,21-Nov-18 07:15:00,1.38,13.945
175,21-Nov-18 07:30:00,1.56,13.945
176,21-Nov-18 07:45:00,1.75,13.954
177,21-Nov-18 08:00:00,1.94,13.955
178,21-Nov-18 08:15:00,2.06,13.954
179,21-Nov-18 08:30:00,2.13,13.956
180,21-Nov-18 08:45:00,2.44,13.957
181,21-Nov-18 09:00:00,4.75,13.958
182,21-Nov-18 09:15:00,6.00,13.959
183,21-Nov-18 09:30:00,6.38,13.963
184,21-Nov-18 09:45:00,7.38,13.963
185,21-Nov-18 10:00:00,8.88,13.963
