
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,BV_20190208,,Exported,"Aqua4Plus 1.9.10"
# Records,  3630 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-7.19,13.681,
,Maximum,20.81,14.187,
,Mean,5.13,13.931,
,Variance,29.015,0.0088,
,Std Deviation,5.387,0.0941,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,8-Feb-19 15:00:00,10.75,13.966
2,8-Feb-19 15:15:00,10.38,13.972
3,8-Feb-19 15:30:00,9.81,13.978
4,8-Feb-19 15:45:00,9.50,13.980
5,8-Feb-19 16:00:00,9.44,13.972
6,8-Feb-19 16:15:00,9.69,13.980
7,8-Feb-19 16:30:00,9.38,13.979
8,8-Feb-19 16:45:00,8.88,13.982
9,8-Feb-19 17:00:00,8.50,13.981
10,8-Feb-19 17:15:00,8.25,13.986
11,8-Feb-19 17:30:00,7.81,13.991
12,8-Feb-19 17:45:00,7.44,13.997
13,8-Feb-19 18:00:00,7.06,14.004
14,8-Feb-19 18:15:00,6.81,14.004
15,8-Feb-19 18:30:00,6.50,14.006
16,8-Feb-19 18:45:00,6.25,14.012
17,8-Feb-19 19:00:00,5.94,14.017
18,8-Feb-19 19:15:00,5.75,14.019
19,8-Feb-19 19:30:00,5.56,14.024
20,8-Feb-19 19:45:00,5.25,14.028
21,8-Feb-19 20:00:00,5.06,14.029
22,8-Feb-19 20:15:00,4.75,14.031
23,8-Feb-19 20:30:00,4.44,14.036
24,8-Feb-19 20:45:00,4.13,14.041
25,8-Feb-19 21:00:00,3.81,14.042
26,8-Feb-19 21:15:00,3.56,14.046
27,8-Feb-19 21:30:00,3.25,14.049
28,8-Feb-19 21:45:00,2.94,14.052
29,8-Feb-19 22:00:00,2.69,14.054
30,8-Feb-19 22:15:00,2.44,14.056
31,8-Feb-19 22:30:00,2.19,14.058
32,8-Feb-19 22:45:00,1.94,14.059
33,8-Feb-19 23:00:00,1.69,14.060
34,8-Feb-19 23:15:00,1.50,14.061
35,8-Feb-19 23:30:00,1.25,14.064
36,8-Feb-19 23:45:00,1.00,14.064
37,9-Feb-19 00:00:00,0.81,14.064
38,9-Feb-19 00:15:00,0.50,14.068
39,9-Feb-19 00:30:00,0.31,14.074
40,9-Feb-19 00:45:00,0.19,14.074
41,9-Feb-19 01:00:00,0.00,14.077
42,9-Feb-19 01:15:00,-0.13,14.080
43,9-Feb-19 01:30:00,-0.25,14.082
44,9-Feb-19 01:45:00,-0.44,14.085
45,9-Feb-19 02:00:00,-0.56,14.087
46,9-Feb-19 02:15:00,-0.69,14.082
47,9-Feb-19 02:30:00,-0.81,14.083
48,9-Feb-19 02:45:00,-1.00,14.087
49,9-Feb-19 03:00:00,-1.13,14.087
50,9-Feb-19 03:15:00,-1.19,14.086
51,9-Feb-19 03:30:00,-1.25,14.089
52,9-Feb-19 03:45:00,-1.25,14.084
53,9-Feb-19 04:00:00,-1.25,14.093
54,9-Feb-19 04:15:00,-1.31,14.093
55,9-Feb-19 04:30:00,-1.38,14.098
56,9-Feb-19 04:45:00,-1.38,14.097
57,9-Feb-19 05:00:00,-1.44,14.099
58,9-Feb-19 05:15:00,-1.50,14.108
59,9-Feb-19 05:30:00,-1.63,14.111
60,9-Feb-19 05:45:00,-1.81,14.112
61,9-Feb-19 06:00:00,-2.00,14.116
62,9-Feb-19 06:15:00,-2.13,14.125
63,9-Feb-19 06:30:00,-2.19,14.125
64,9-Feb-19 06:45:00,-2.19,14.127
65,9-Feb-19 07:00:00,-2.25,14.127
66,9-Feb-19 07:15:00,-2.25,14.130
67,9-Feb-19 07:30:00,-2.25,14.135
68,9-Feb-19 07:45:00,-2.19,14.138
69,9-Feb-19 08:00:00,-2.06,14.143
70,9-Feb-19 08:15:00,-1.88,14.151
71,9-Feb-19 08:30:00,-1.75,14.159
72,9-Feb-19 08:45:00,-1.63,14.161
73,9-Feb-19 09:00:00,-1.38,14.169
74,9-Feb-19 09:15:00,-0.75,14.171
75,9-Feb-19 09:30:00,-0.69,14.170
76,9-Feb-19 09:45:00,-0.81,14.172
77,9-Feb-19 10:00:00,-0.69,14.180
78,9-Feb-19 10:15:00,-0.38,14.180
79,9-Feb-19 10:30:00,-0.25,14.179
80,9-Feb-19 10:45:00,0.13,14.182
81,9-Feb-19 11:00:00,0.19,14.177
82,9-Feb-19 11:15:00,0.25,14.183
83,9-Feb-19 11:30:00,0.44,14.187
84,9-Feb-19 11:45:00,0.81,14.185
85,9-Feb-19 12:00:00,1.13,14.183
86,9-Feb-19 12:15:00,1.63,14.180
87,9-Feb-19 12:30:00,1.81,14.181
88,9-Feb-19 12:45:00,1.75,14.178
89,9-Feb-19 13:00:00,1.88,14.176
90,9-Feb-19 13:15:00,2.00,14.173
91,9-Feb-19 13:30:00,2.13,14.172
92,9-Feb-19 13:45:00,2.19,14.173
93,9-Feb-19 14:00:00,2.31,14.173
94,9-Feb-19 14:15:00,2.50,14.171
95,9-Feb-19 14:30:00,2.75,14.170
96,9-Feb-19 14:45:00,2.88,14.171
97,9-Feb-19 15:00:00,3.06,14.173
98,9-Feb-19 15:15:00,3.25,14.171
99,9-Feb-19 15:30:00,3.44,14.171
100,9-Feb-19 15:45:00,3.69,14.169
101,9-Feb-19 16:00:00,3.75,14.169
102,9-Feb-19 16:15:00,3.75,14.169
103,9-Feb-19 16:30:00,3.50,14.171
104,9-Feb-19 16:45:00,3.00,14.169
105,9-Feb-19 17:00:00,2.69,14.169
106,9-Feb-19 17:15:00,2.38,14.170
107,9-Feb-19 17:30:00,2.00,14.171
108,9-Feb-19 17:45:00,1.50,14.167
109,9-Feb-19 18:00:00,0.94,14.167
110,9-Feb-19 18:15:00,0.44,14.164
111,9-Feb-19 18:30:00,0.06,14.165
112,9-Feb-19 18:45:00,-0.38,14.167
113,9-Feb-19 19:00:00,-0.69,14.167
114,9-Feb-19 19:15:00,-1.00,14.170
115,9-Feb-19 19:30:00,-1.25,14.166
116,9-Feb-19 19:45:00,-1.44,14.166
117,9-Feb-19 20:00:00,-1.63,14.170
118,9-Feb-19 20:15:00,-1.81,14.166
119,9-Feb-19 20:30:00,-2.06,14.168
120,9-Feb-19 20:45:00,-2.25,14.168
121,9-Feb-19 21:00:00,-2.38,14.172
122,9-Feb-19 21:15:00,-2.44,14.170
123,9-Feb-19 21:30:00,-2.63,14.174
124,9-Feb-19 21:45:00,-2.75,14.176
125,9-Feb-19 22:00:00,-2.94,14.175
126,9-Feb-19 22:15:00,-3.00,14.175
127,9-Feb-19 22:30:00,-3.13,14.175
128,9-Feb-19 22:45:00,-3.13,14.173
129,9-Feb-19 23:00:00,-3.19,14.169
130,9-Feb-19 23:15:00,-3.25,14.170
131,9-Feb-19 23:30:00,-3.19,14.169
132,9-Feb-19 23:45:00,-2.81,14.167
133,10-Feb-19 00:00:00,-2.56,14.167
134,10-Feb-19 00:15:00,-2.31,14.169
135,10-Feb-19 00:30:00,-2.31,14.165
136,10-Feb-19 00:45:00,-2.38,14.168
137,10-Feb-19 01:00:00,-2.44,14.168
138,10-Feb-19 01:15:00,-2.50,14.169
139,10-Feb-19 01:30:00,-2.63,14.165
140,10-Feb-19 01:45:00,-2.69,14.168
141,10-Feb-19 02:00:00,-2.75,14.168
142,10-Feb-19 02:15:00,-2.88,14.170
143,10-Feb-19 02:30:00,-3.00,14.173
144,10-Feb-19 02:45:00,-3.19,14.171
145,10-Feb-19 03:00:00,-3.31,14.169
146,10-Feb-19 03:15:00,-3.44,14.166
147,10-Feb-19 03:30:00,-3.56,14.168
148,10-Feb-19 03:45:00,-3.63,14.163
149,10-Feb-19 04:00:00,-3.63,14.163
150,10-Feb-19 04:15:00,-3.69,14.164
151,10-Feb-19 04:30:00,-3.81,14.168
152,10-Feb-19 04:45:00,-4.00,14.164
153,10-Feb-19 05:00:00,-4.13,14.161
154,10-Feb-19 05:15:00,-4.06,14.165
155,10-Feb-19 05:30:00,-4.19,14.167
156,10-Feb-19 05:45:00,-4.44,14.163
157,10-Feb-19 06:00:00,-4.63,14.167
158,10-Feb-19 06:15:00,-4.75,14.164
159,10-Feb-19 06:30:00,-4.75,14.161
160,10-Feb-19 06:45:00,-4.69,14.162
161,10-Feb-19 07:00:00,-4.50,14.160
162,10-Feb-19 07:15:00,-4.38,14.157
163,10-Feb-19 07:30:00,-4.25,14.157
164,10-Feb-19 07:45:00,-4.06,14.160
165,10-Feb-19 08:00:00,-3.88,14.159
166,10-Feb-19 08:15:00,-3.50,14.164
167,10-Feb-19 08:30:00,-3.25,14.159
168,10-Feb-19 08:45:00,-2.63,14.158
169,10-Feb-19 09:00:00,-2.13,14.164
170,10-Feb-19 09:15:00,-1.50,14.159
171,10-Feb-19 09:30:00,-1.13,14.160
172,10-Feb-19 09:45:00,-1.25,14.148
173,10-Feb-19 10:00:00,-1.19,14.153
174,10-Feb-19 10:15:00,-1.00,14.148
175,10-Feb-19 10:30:00,-0.94,14.144
176,10-Feb-19 10:45:00,-1.00,14.142
177,10-Feb-19 11:00:00,-0.81,14.143
178,10-Feb-19 11:15:00,-0.44,14.140
179,10-Feb-19 11:30:00,-0.06,14.141
180,10-Feb-19 11:45:00,0.25,14.136
181,10-Feb-19 12:00:00,0.63,14.136
182,10-Feb-19 12:15:00,0.56,14.133
183,10-Feb-19 12:30:00,0.56,14.120
184,10-Feb-19 12:45:00,0.94,14.117
185,10-Feb-19 13:00:00,1.31,14.111
186,10-Feb-19 13:15:00,1.31,14.105
187,10-Feb-19 13:30:00,1.50,14.099
188,10-Feb-19 13:45:00,1.75,14.095
189,10-Feb-19 14:00:00,2.13,14.093
190,10-Feb-19 14:15:00,2.19,14.088
191,10-Feb-19 14:30:00,2.25,14.084
192,10-Feb-19 14:45:00,2.25,14.083
193,10-Feb-19 15:00:00,2.25,14.078
194,10-Feb-19 15:15:00,1.94,14.076
195,10-Feb-19 15:30:00,2.00,14.067
196,10-Feb-19 15:45:00,2.00,14.059
197,10-Feb-19 16:00:00,2.00,14.066
198,10-Feb-19 16:15:00,2.00,14.058
199,10-Feb-19 16:30:00,1.88,14.063
200,10-Feb-19 16:45:00,1.81,14.053
201,10-Feb-19 17:00:00,1.75,14.050
202,10-Feb-19 17:15:00,1.69,14.048
203,10-Feb-19 17:30:00,1.56,14.047
204,10-Feb-19 17:45:00,1.13,14.051
205,10-Feb-19 18:00:00,0.94,14.049
206,10-Feb-19 18:15:00,0.88,14.044
207,10-Feb-19 18:30:00,0.81,14.043
208,10-Feb-19 18:45:00,0.63,14.040
209,10-Feb-19 19:00:00,0.56,14.038
210,10-Feb-19 19:15:00,0.31,14.040
211,10-Feb-19 19:30:00,0.13,14.040
212,10-Feb-19 19:45:00,0.00,14.042
213,10-Feb-19 20:00:00,0.06,14.040
214,10-Feb-19 20:15:00,0.00,14.040
215,10-Feb-19 20:30:00,-0.19,14.038
216,10-Feb-19 20:45:00,-0.25,14.038
217,10-Feb-19 21:00:00,-0.31,14.033
218,10-Feb-19 21:15:00,-0.38,14.036
219,10-Feb-19 21:30:00,-0.44,14.032
220,10-Feb-19 21:45:00,-0.50,14.029
221,10-Feb-19 22:00:00,-0.50,14.029
222,10-Feb-19 22:15:00,-0.50,14.026
223,10-Feb-19 22:30:00,-0.56,14.019
224,10-Feb-19 22:45:00,-0.56,14.018
225,10-Feb-19 23:00:00,-0.56,14.012
226,10-Feb-19 23:15:00,-0.56,14.012
227,10-Feb-19 23:30:00,-0.63,14.008
228,10-Feb-19 23:45:00,-0.63,14.005
229,11-Feb-19 00:00:00,-0.63,14.002
230,11-Feb-19 00:15:00,-0.63,13.998
231,11-Feb-19 00:30:00,-0.63,13.996
232,11-Feb-19 00:45:00,-0.63,13.991
233,11-Feb-19 01:00:00,-0.63,13.988
234,11-Feb-19 01:15:00,-0.56,13.984
235,11-Feb-19 01:30:00,-0.56,13.983
236,11-Feb-19 01:45:00,-0.56,13.982
237,11-Feb-19 02:00:00,-0.50,13.974
238,11-Feb-19 02:15:00,-0.38,13.972
239,11-Feb-19 02:30:00,-0.31,13.968
240,11-Feb-19 02:45:00,-0.25,13.965
241,11-Feb-19 03:00:00,-0.13,13.961
242,11-Feb-19 03:15:00,-0.06,13.960
243,11-Feb-19 03:30:00,0.00,13.955
244,11-Feb-19 03:45:00,0.13,13.957
245,11-Feb-19 04:00:00,0.31,13.952
246,11-Feb-19 04:15:00,0.38,13.952
247,11-Feb-19 04:30:00,0.44,13.953
248,11-Feb-19 04:45:00,0.56,13.949
249,11-Feb-19 05:00:00,0.63,13.947
250,11-Feb-19 05:15:00,0.75,13.945
251,11-Feb-19 05:30:00,0.94,13.946
252,11-Feb-19 05:45:00,1.06,13.948
253,11-Feb-19 06:00:00,1.25,13.940
254,11-Feb-19 06:15:00,1.50,13.943
255,11-Feb-19 06:30:00,1.69,13.944
256,11-Feb-19 06:45:00,2.19,13.945
257,11-Feb-19 07:00:00,2.63,13.942
258,11-Feb-19 07:15:00,3.06,13.946
259,11-Feb-19 07:30:00,3.19,13.947
260,11-Feb-19 07:45:00,3.31,13.943
261,11-Feb-19 08:00:00,3.38,13.946
262,11-Feb-19 08:15:00,3.75,13.945
263,11-Feb-19 08:30:00,4.13,13.950
264,11-Feb-19 08:45:00,4.25,13.947
265,11-Feb-19 09:00:00,4.50,13.953
266,11-Feb-19 09:15:00,4.69,13.953
267,11-Feb-19 09:30:00,4.81,13.952
268,11-Feb-19 09:45:00,4.94,13.953
