
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_INF_20191221,,Exported,"Aqua4Plus 1.9.10"
# Records,  5367 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,0.75,14.133,
,Maximum,10.13,14.636,
,Mean,5.03,14.403,
,Variance,2.886,0.0096,
,Std Deviation,1.699,0.0980,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,21-Jan-19 14:30:00,2.44,14.511
2,21-Jan-19 14:45:00,2.25,14.508
3,21-Jan-19 15:00:00,2.25,14.510
4,21-Jan-19 15:15:00,2.19,14.510
5,21-Jan-19 15:30:00,2.19,14.514
6,21-Jan-19 15:45:00,2.13,14.515
7,21-Jan-19 16:00:00,2.06,14.517
8,21-Jan-19 16:15:00,2.00,14.521
9,21-Jan-19 16:30:00,1.94,14.526
10,21-Jan-19 16:45:00,1.94,14.528
11,21-Jan-19 17:00:00,1.81,14.530
12,21-Jan-19 17:15:00,1.75,14.533
13,21-Jan-19 17:30:00,1.69,14.536
14,21-Jan-19 17:45:00,1.69,14.538
15,21-Jan-19 18:00:00,1.63,14.542
16,21-Jan-19 18:15:00,1.63,14.542
17,21-Jan-19 18:30:00,1.56,14.545
18,21-Jan-19 18:45:00,1.56,14.547
19,21-Jan-19 19:00:00,1.56,14.548
20,21-Jan-19 19:15:00,1.50,14.547
21,21-Jan-19 19:30:00,1.44,14.547
22,21-Jan-19 19:45:00,1.44,14.553
23,21-Jan-19 20:00:00,1.38,14.550
24,21-Jan-19 20:15:00,1.38,14.550
25,21-Jan-19 20:30:00,1.38,14.556
26,21-Jan-19 20:45:00,1.38,14.559
27,21-Jan-19 21:00:00,1.38,14.561
28,21-Jan-19 21:15:00,1.38,14.561
29,21-Jan-19 21:30:00,1.31,14.559
30,21-Jan-19 21:45:00,1.31,14.563
31,21-Jan-19 22:00:00,1.31,14.561
32,21-Jan-19 22:15:00,1.31,14.563
33,21-Jan-19 22:30:00,1.31,14.564
34,21-Jan-19 22:45:00,1.25,14.564
35,21-Jan-19 23:00:00,1.25,14.569
36,21-Jan-19 23:15:00,1.25,14.568
37,21-Jan-19 23:30:00,1.25,14.568
38,21-Jan-19 23:45:00,1.25,14.570
39,22-Jan-19 00:00:00,1.25,14.576
40,22-Jan-19 00:15:00,1.19,14.578
41,22-Jan-19 00:30:00,1.25,14.574
42,22-Jan-19 00:45:00,1.19,14.580
43,22-Jan-19 01:00:00,1.19,14.579
44,22-Jan-19 01:15:00,1.19,14.586
45,22-Jan-19 01:30:00,1.19,14.586
46,22-Jan-19 01:45:00,1.19,14.587
47,22-Jan-19 02:00:00,1.13,14.588
48,22-Jan-19 02:15:00,1.13,14.586
49,22-Jan-19 02:30:00,1.13,14.596
50,22-Jan-19 02:45:00,1.06,14.591
51,22-Jan-19 03:00:00,1.13,14.597
52,22-Jan-19 03:15:00,1.06,14.598
53,22-Jan-19 03:30:00,1.06,14.594
54,22-Jan-19 03:45:00,1.06,14.592
55,22-Jan-19 04:00:00,1.06,14.586
56,22-Jan-19 04:15:00,1.00,14.586
57,22-Jan-19 04:30:00,1.06,14.589
58,22-Jan-19 04:45:00,1.06,14.592
59,22-Jan-19 05:00:00,1.06,14.597
60,22-Jan-19 05:15:00,1.00,14.601
61,22-Jan-19 05:30:00,1.00,14.597
62,22-Jan-19 05:45:00,1.00,14.600
63,22-Jan-19 06:00:00,1.00,14.601
64,22-Jan-19 06:15:00,1.00,14.604
65,22-Jan-19 06:30:00,1.00,14.606
66,22-Jan-19 06:45:00,1.00,14.610
67,22-Jan-19 07:00:00,1.00,14.612
68,22-Jan-19 07:15:00,1.00,14.613
69,22-Jan-19 07:30:00,1.00,14.615
70,22-Jan-19 07:45:00,1.00,14.615
71,22-Jan-19 08:00:00,1.00,14.624
72,22-Jan-19 08:15:00,1.06,14.624
73,22-Jan-19 08:30:00,1.13,14.624
74,22-Jan-19 08:45:00,1.19,14.627
75,22-Jan-19 09:00:00,1.25,14.623
76,22-Jan-19 09:15:00,1.31,14.625
77,22-Jan-19 09:30:00,1.31,14.632
78,22-Jan-19 09:45:00,1.31,14.630
79,22-Jan-19 10:00:00,1.31,14.629
80,22-Jan-19 10:15:00,1.31,14.630
81,22-Jan-19 10:30:00,1.38,14.634
82,22-Jan-19 10:45:00,1.38,14.636
83,22-Jan-19 11:00:00,1.44,14.631
84,22-Jan-19 11:15:00,1.56,14.631
85,22-Jan-19 11:30:00,1.69,14.629
86,22-Jan-19 11:45:00,1.81,14.626
87,22-Jan-19 12:00:00,1.88,14.621
88,22-Jan-19 12:15:00,1.94,14.615
