
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_1m_20181119,,Exported,"Aqua4Plus 1.9.10"
# Records,  7788 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,1.188,5.636,12.341,5.970,0.960,
,Maximum,9.563,15.322,14.010,13.650,8.930,
,Mean,4.981,14.661,13.118,10.768,4.455,
,Variance,2.7206,0.7806,0.1872,0.6470,2.6032,
,Std Deviation,1.6494,0.8835,0.4326,0.8044,1.6135,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,19-Nov-18 12:00:00,8.625,15.053,13.861,8.730,7.940
2,19-Nov-18 12:15:00,8.750,15.046,13.861,8.760,7.920
3,19-Nov-18 12:30:00,8.813,15.028,13.861,8.750,7.950
4,19-Nov-18 12:45:00,8.875,15.047,13.861,8.770,7.970
5,19-Nov-18 13:00:00,8.750,15.040,13.861,8.790,8.020
6,19-Nov-18 13:15:00,8.750,15.041,13.861,8.810,8.060
7,19-Nov-18 13:30:00,8.750,15.031,13.861,8.930,7.950
8,19-Nov-18 13:45:00,8.813,15.021,13.861,8.950,7.930
9,19-Nov-18 14:00:00,8.813,15.019,13.831,8.980,7.960
10,19-Nov-18 14:15:00,8.813,15.024,13.861,9.040,7.940
11,19-Nov-18 14:30:00,8.813,15.012,13.861,9.030,8.140
12,19-Nov-18 14:45:00,8.750,15.012,13.771,8.970,8.180
13,19-Nov-18 15:00:00,8.688,15.020,13.712,8.960,8.220
14,19-Nov-18 15:15:00,8.750,15.014,13.443,8.920,8.270
15,19-Nov-18 15:30:00,8.688,15.016,13.563,8.920,8.280
16,19-Nov-18 15:45:00,8.750,15.004,13.652,8.940,8.270
17,19-Nov-18 16:00:00,8.750,15.002,13.324,8.920,8.260
18,19-Nov-18 16:15:00,8.688,15.001,13.324,8.880,8.090
19,19-Nov-18 16:30:00,8.688,15.011,13.294,8.870,8.050
20,19-Nov-18 16:45:00,8.688,14.993,13.265,8.830,8.110
21,19-Nov-18 17:00:00,8.688,14.999,13.056,8.840,8.190
22,19-Nov-18 17:15:00,8.688,15.011,12.996,8.840,8.210
23,19-Nov-18 17:30:00,8.625,15.003,13.026,8.860,8.220
24,19-Nov-18 17:45:00,8.625,15.008,12.996,8.850,8.220
25,19-Nov-18 18:00:00,8.625,15.007,12.966,8.830,8.250
26,19-Nov-18 18:15:00,8.688,15.007,12.937,8.830,8.280
27,19-Nov-18 18:30:00,8.688,15.011,12.966,8.820,8.300
28,19-Nov-18 18:45:00,8.688,15.013,12.937,8.810,8.310
29,19-Nov-18 19:00:00,8.750,15.011,12.937,8.800,8.320
30,19-Nov-18 19:15:00,8.688,15.001,12.907,8.790,8.310
31,19-Nov-18 19:30:00,8.688,15.013,12.907,8.810,8.300
32,19-Nov-18 19:45:00,8.688,15.011,12.907,8.790,8.290
33,19-Nov-18 20:00:00,8.688,15.014,12.877,8.810,8.270
34,19-Nov-18 20:15:00,8.625,15.007,12.907,8.790,8.260
35,19-Nov-18 20:30:00,8.625,14.998,12.907,8.800,8.250
