
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.10"
File Name,DO_1m_20190208,,Exported,"Aqua4Plus 1.9.10"
# Records,  3631 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,4.625,6.526,12.549,8.930,4.100,
,Maximum,10.313,14.842,13.920,14.980,9.430,
,Mean,6.028,12.774,13.183,10.989,5.457,
,Variance,1.2147,1.4388,0.2273,0.7090,1.1109,
,Std Deviation,1.1021,1.1995,0.4768,0.8420,1.0540,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,8-Feb-19 15:00:00,5.438,13.031,13.771,12.080,4.690
2,8-Feb-19 15:15:00,5.500,13.097,13.741,12.090,4.860
3,8-Feb-19 15:30:00,5.688,13.179,13.503,12.050,5.230
4,8-Feb-19 15:45:00,5.875,13.160,13.652,12.030,5.050
5,8-Feb-19 16:00:00,5.875,13.185,13.861,12.040,5.210
6,8-Feb-19 16:15:00,6.063,13.061,13.891,12.040,5.450
7,8-Feb-19 16:30:00,6.188,13.039,13.533,11.960,5.560
8,8-Feb-19 16:45:00,6.188,13.103,13.563,12.030,5.460
9,8-Feb-19 17:00:00,6.125,13.035,13.503,11.960,5.340
10,8-Feb-19 17:15:00,6.000,13.156,13.443,11.870,5.280
11,8-Feb-19 17:30:00,5.875,13.087,13.205,11.820,5.320
12,8-Feb-19 17:45:00,5.875,13.131,13.086,11.800,5.350
13,8-Feb-19 18:00:00,5.875,13.168,13.056,11.690,5.380
14,8-Feb-19 18:15:00,5.875,13.117,12.996,11.700,5.370
15,8-Feb-19 18:30:00,5.813,13.073,12.966,11.750,5.380
16,8-Feb-19 18:45:00,5.813,13.081,12.937,11.760,5.370
17,8-Feb-19 19:00:00,5.813,13.082,12.937,11.720,5.370
18,8-Feb-19 19:15:00,5.813,13.150,12.907,11.770,5.370
19,8-Feb-19 19:30:00,5.875,13.102,12.907,11.770,5.380
20,8-Feb-19 19:45:00,5.938,13.220,12.907,11.740,5.430
21,8-Feb-19 20:00:00,6.000,13.114,12.877,11.810,5.440
22,8-Feb-19 20:15:00,5.938,13.122,12.847,11.830,5.450
23,8-Feb-19 20:30:00,5.938,13.177,12.877,11.790,5.430
24,8-Feb-19 20:45:00,5.938,13.230,12.907,11.890,5.460
25,8-Feb-19 21:00:00,6.000,13.281,12.877,11.930,5.470
26,8-Feb-19 21:15:00,5.938,13.274,12.877,11.970,5.480
27,8-Feb-19 21:30:00,5.938,13.160,12.847,12.060,5.490
28,8-Feb-19 21:45:00,5.938,13.375,12.847,12.130,5.470
29,8-Feb-19 22:00:00,6.000,13.334,12.877,12.160,5.520
30,8-Feb-19 22:15:00,6.125,13.383,12.817,12.140,5.740
31,8-Feb-19 22:30:00,6.250,13.460,12.817,12.110,5.800
32,8-Feb-19 22:45:00,6.250,13.288,12.847,12.070,5.800
33,8-Feb-19 23:00:00,6.250,13.380,12.817,12.000,5.860
34,8-Feb-19 23:15:00,6.313,13.371,12.817,11.960,5.830
35,8-Feb-19 23:30:00,6.313,13.418,12.817,11.900,5.810
36,8-Feb-19 23:45:00,6.250,13.461,12.817,11.840,5.780
37,9-Feb-19 00:00:00,6.250,13.424,12.817,11.870,5.700
38,9-Feb-19 00:15:00,6.188,13.413,12.758,11.890,5.630
39,9-Feb-19 00:30:00,6.125,13.478,12.758,11.880,5.570
40,9-Feb-19 00:45:00,6.063,13.415,12.788,11.810,5.520
41,9-Feb-19 01:00:00,6.000,13.456,12.758,11.760,5.500
42,9-Feb-19 01:15:00,6.000,13.422,12.758,11.640,5.490
43,9-Feb-19 01:30:00,5.938,13.498,12.728,11.540,5.450
44,9-Feb-19 01:45:00,5.938,13.506,12.788,11.450,5.480
45,9-Feb-19 02:00:00,5.938,13.498,12.728,11.420,5.490
46,9-Feb-19 02:15:00,6.000,13.524,12.728,11.320,5.470
47,9-Feb-19 02:30:00,5.938,13.460,12.728,11.340,5.450
48,9-Feb-19 02:45:00,5.875,13.537,12.728,11.330,5.410
49,9-Feb-19 03:00:00,5.875,13.509,12.728,11.310,5.390
50,9-Feb-19 03:15:00,5.813,13.455,12.728,11.390,5.360
51,9-Feb-19 03:30:00,5.813,13.499,12.698,11.420,5.340
52,9-Feb-19 03:45:00,5.750,13.450,12.668,11.520,5.330
53,9-Feb-19 04:00:00,5.813,13.433,12.698,11.670,5.320
54,9-Feb-19 04:15:00,5.750,13.478,12.668,11.700,5.300
55,9-Feb-19 04:30:00,5.750,13.457,12.698,11.800,5.290
56,9-Feb-19 04:45:00,5.750,13.471,12.698,11.920,5.260
57,9-Feb-19 05:00:00,5.750,13.509,12.698,11.950,5.240
58,9-Feb-19 05:15:00,5.750,13.497,12.698,12.010,5.210
59,9-Feb-19 05:30:00,5.688,13.537,12.698,11.970,5.200
60,9-Feb-19 05:45:00,5.688,13.556,12.668,11.940,5.180
61,9-Feb-19 06:00:00,5.688,13.588,12.698,11.780,5.170
62,9-Feb-19 06:15:00,5.625,13.604,12.668,11.640,5.160
63,9-Feb-19 06:30:00,5.625,13.597,12.668,11.540,5.150
64,9-Feb-19 06:45:00,5.625,13.578,12.639,11.750,5.140
65,9-Feb-19 07:00:00,5.625,13.563,12.668,11.900,5.120
66,9-Feb-19 07:15:00,5.563,13.567,12.668,11.960,5.120
