
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_1m_20190318,,Exported,"Aqua4Plus 1.9.10"
# Records,  2685 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,8.000,-13.513,12.519,8.220,7.520,
,Maximum,18.375,15.089,13.950,13.800,17.400,
,Mean,11.809,10.780,13.254,10.914,11.145,
,Variance,6.7415,3.6594,0.2390,1.3723,6.3712,
,Std Deviation,2.5964,1.9130,0.4889,1.1714,2.5241,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,18-Mar-19 12:00:00,8.688,11.114,13.831,12.780,8.170
2,18-Mar-19 12:15:00,8.813,11.239,13.801,12.220,8.220
3,18-Mar-19 12:30:00,8.813,11.200,13.861,12.730,8.310
4,18-Mar-19 12:45:00,8.938,11.066,13.861,12.750,8.370
5,18-Mar-19 13:00:00,9.000,11.116,13.861,12.450,8.380
6,18-Mar-19 13:15:00,9.188,11.059,13.861,12.460,8.480
7,18-Mar-19 13:30:00,9.188,10.795,13.861,12.380,8.450
8,18-Mar-19 13:45:00,9.250,11.088,13.861,12.340,8.470
9,18-Mar-19 14:00:00,9.375,10.852,13.831,12.190,8.490
10,18-Mar-19 14:15:00,9.250,10.999,13.861,11.780,8.500
11,18-Mar-19 14:30:00,9.188,11.010,13.861,12.230,8.580
12,18-Mar-19 14:45:00,9.188,10.766,13.861,12.120,8.580
13,18-Mar-19 15:00:00,9.188,10.735,13.861,12.230,8.590
14,18-Mar-19 15:15:00,9.250,10.778,13.861,12.490,8.720
15,18-Mar-19 15:30:00,9.375,10.316,13.861,12.940,8.720
16,18-Mar-19 15:45:00,9.500,10.293,13.831,12.480,8.700
17,18-Mar-19 16:00:00,9.688,10.049,13.891,12.390,8.690
18,18-Mar-19 16:15:00,9.750,10.073,13.861,12.420,8.840
19,18-Mar-19 16:30:00,9.750,10.101,13.861,12.280,8.900
20,18-Mar-19 16:45:00,9.688,10.205,13.891,12.330,8.930
21,18-Mar-19 17:00:00,9.750,10.139,13.861,12.470,8.840
22,18-Mar-19 17:15:00,9.688,10.226,13.861,12.350,8.890
23,18-Mar-19 17:30:00,9.750,10.202,13.891,12.450,8.880
24,18-Mar-19 17:45:00,9.750,10.019,13.831,12.050,8.820
25,18-Mar-19 18:00:00,9.625,10.094,13.831,11.620,8.910
26,18-Mar-19 18:15:00,9.500,10.485,13.324,11.390,8.860
27,18-Mar-19 18:30:00,9.438,10.474,13.294,11.240,8.820
28,18-Mar-19 18:45:00,9.375,10.487,13.235,11.200,8.750
29,18-Mar-19 19:00:00,9.313,10.618,13.056,11.140,8.650
