
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_8m_20181119,,Exported,"Aqua4Plus 1.9.10"
# Records,  7788 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,2.563,26.081,12.341,3.050,2.570,
,Maximum,9.375,26.683,14.069,13.320,8.170,
,Mean,4.708,26.434,13.150,11.541,4.702,
,Variance,1.5096,0.0102,0.1901,1.6099,1.4850,
,Std Deviation,1.2287,0.1008,0.4361,1.2688,1.2186,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,19-Nov-18 12:00:00,7.938,26.447,13.920,9.710,7.980
2,19-Nov-18 12:15:00,7.938,26.441,13.920,9.730,7.990
3,19-Nov-18 12:30:00,7.938,26.440,13.920,9.740,7.990
4,19-Nov-18 12:45:00,7.938,26.435,13.920,9.760,7.980
5,19-Nov-18 13:00:00,7.938,26.427,13.920,9.770,7.960
6,19-Nov-18 13:15:00,7.875,26.426,13.920,9.720,7.950
7,19-Nov-18 13:30:00,7.875,26.415,13.920,9.670,7.930
8,19-Nov-18 13:45:00,7.875,26.418,13.891,9.630,7.940
9,19-Nov-18 14:00:00,7.875,26.417,13.891,9.650,7.930
10,19-Nov-18 14:15:00,7.875,26.415,13.920,9.650,7.930
11,19-Nov-18 14:30:00,7.875,26.413,13.920,9.630,7.930
12,19-Nov-18 14:45:00,7.875,26.416,13.861,9.650,7.930
13,19-Nov-18 15:00:00,7.875,26.411,13.801,9.660,7.930
14,19-Nov-18 15:15:00,7.875,26.411,13.503,9.690,7.940
15,19-Nov-18 15:30:00,7.875,26.409,13.652,9.690,7.930
16,19-Nov-18 15:45:00,9.375,26.415,13.712,9.860,8.030
17,19-Nov-18 16:00:00,7.938,26.408,13.384,9.740,7.950
18,19-Nov-18 16:15:00,7.875,26.409,13.384,9.670,7.930
19,19-Nov-18 16:30:00,7.875,26.408,13.354,9.680,7.940
20,19-Nov-18 16:45:00,7.875,26.402,13.324,9.640,7.940
21,19-Nov-18 17:00:00,7.875,26.404,13.116,9.650,7.930
22,19-Nov-18 17:15:00,7.875,26.394,13.056,9.630,7.940
23,19-Nov-18 17:30:00,7.875,26.401,13.056,9.650,7.940
24,19-Nov-18 17:45:00,7.875,26.404,13.026,9.630,7.940
25,19-Nov-18 18:00:00,7.875,26.403,13.026,9.630,7.940
26,19-Nov-18 18:15:00,7.875,26.406,12.996,9.620,7.940
27,19-Nov-18 18:30:00,7.875,26.403,12.996,9.640,7.950
28,19-Nov-18 18:45:00,7.875,26.391,12.966,9.620,7.940
29,19-Nov-18 19:00:00,7.875,26.399,12.966,9.590,7.930
30,19-Nov-18 19:15:00,7.875,26.405,12.996,9.570,7.940
31,19-Nov-18 19:30:00,7.875,26.399,12.966,9.570,7.940
32,19-Nov-18 19:45:00,7.875,26.398,12.966,9.580,7.940
33,19-Nov-18 20:00:00,7.875,26.390,12.937,9.550,7.940
34,19-Nov-18 20:15:00,7.875,26.399,12.937,9.560,7.940
35,19-Nov-18 20:30:00,7.875,26.399,12.966,9.570,7.940
36,19-Nov-18 20:45:00,7.875,26.398,12.847,9.550,7.950
37,19-Nov-18 21:00:00,7.875,26.389,12.937,9.540,7.950
38,19-Nov-18 21:15:00,7.875,26.389,12.937,9.550,7.950
39,19-Nov-18 21:30:00,7.875,26.389,12.907,9.540,7.950
40,19-Nov-18 21:45:00,7.875,26.391,12.937,9.550,7.950
41,19-Nov-18 22:00:00,7.875,26.394,12.907,9.530,7.940
42,19-Nov-18 22:15:00,7.875,26.386,12.907,9.530,7.950
43,19-Nov-18 22:30:00,7.875,26.385,12.937,9.560,7.950
44,19-Nov-18 22:45:00,7.875,26.382,12.937,9.580,7.940
45,19-Nov-18 23:00:00,7.875,26.384,12.907,9.560,7.940
46,19-Nov-18 23:15:00,7.875,26.385,12.907,9.590,7.950
47,19-Nov-18 23:30:00,7.875,26.378,12.907,9.570,7.950
48,19-Nov-18 23:45:00,7.875,26.363,12.907,9.570,7.940
49,20-Nov-18 00:00:00,7.875,26.380,12.907,9.560,7.950
50,20-Nov-18 00:15:00,7.875,26.380,12.907,9.570,7.940
51,20-Nov-18 00:30:00,7.875,26.380,12.907,9.540,7.950
52,20-Nov-18 00:45:00,7.875,26.374,12.907,9.510,7.950
53,20-Nov-18 01:00:00,7.875,26.378,12.877,9.530,7.950
54,20-Nov-18 01:15:00,7.875,26.373,12.817,9.520,7.950
55,20-Nov-18 01:30:00,7.875,26.372,12.877,9.540,7.950
56,20-Nov-18 01:45:00,7.875,26.370,12.877,9.540,7.960
57,20-Nov-18 02:00:00,7.875,26.376,12.907,9.540,7.950
58,20-Nov-18 02:15:00,7.875,26.373,12.877,9.560,7.950
59,20-Nov-18 02:30:00,7.875,26.365,12.877,9.550,7.960
60,20-Nov-18 02:45:00,7.875,26.367,12.847,9.530,7.960
61,20-Nov-18 03:00:00,7.875,26.372,12.877,9.550,7.950
62,20-Nov-18 03:15:00,7.875,26.371,12.877,9.550,7.970
63,20-Nov-18 03:30:00,7.875,26.368,12.877,9.530,7.960
64,20-Nov-18 03:45:00,7.875,26.363,12.877,9.540,7.960
65,20-Nov-18 04:00:00,7.875,26.367,12.877,9.520,7.960
66,20-Nov-18 04:15:00,7.875,26.365,12.758,9.490,7.960
67,20-Nov-18 04:30:00,7.875,26.371,12.847,9.530,7.960
68,20-Nov-18 04:45:00,7.875,26.370,12.847,9.530,7.970
69,20-Nov-18 05:00:00,7.875,26.375,12.847,9.550,7.970
70,20-Nov-18 05:15:00,7.875,26.374,12.817,9.530,7.950
71,20-Nov-18 05:30:00,7.875,26.369,12.817,9.540,7.970
72,20-Nov-18 05:45:00,7.875,26.363,12.817,9.540,7.960
73,20-Nov-18 06:00:00,7.875,26.375,12.817,9.530,7.970
74,20-Nov-18 06:15:00,7.875,26.374,12.817,9.560,7.960
75,20-Nov-18 06:30:00,7.875,26.367,12.817,9.600,7.960
76,20-Nov-18 06:45:00,7.875,26.380,12.788,9.590,7.970
77,20-Nov-18 07:00:00,7.875,26.380,12.758,9.550,7.970
78,20-Nov-18 07:15:00,7.875,26.374,12.788,9.550,7.970
79,20-Nov-18 07:30:00,7.875,26.378,12.788,9.530,7.960
80,20-Nov-18 07:45:00,7.875,26.381,12.758,9.530,7.960
81,20-Nov-18 08:00:00,7.875,26.369,12.698,9.550,7.960
82,20-Nov-18 08:15:00,7.875,26.387,12.788,9.560,7.970
83,20-Nov-18 08:30:00,7.875,26.393,12.907,9.590,7.980
84,20-Nov-18 08:45:00,7.938,26.396,13.145,9.590,7.970
85,20-Nov-18 09:00:00,7.875,26.392,13.682,9.600,7.960
86,20-Nov-18 09:15:00,7.875,26.401,13.831,9.560,7.960
87,20-Nov-18 09:30:00,7.938,26.403,13.831,9.540,7.980
88,20-Nov-18 09:45:00,7.875,26.407,13.801,9.550,7.970
89,20-Nov-18 10:00:00,7.875,26.403,13.771,9.540,7.970
90,20-Nov-18 10:15:00,7.875,26.404,13.771,9.570,7.970
91,20-Nov-18 10:30:00,7.875,26.408,13.682,9.600,7.970
92,20-Nov-18 10:45:00,7.875,26.411,13.920,9.570,7.970
93,20-Nov-18 11:00:00,7.875,26.421,13.622,9.590,7.980
94,20-Nov-18 11:15:00,7.875,26.415,13.622,9.630,7.970
95,20-Nov-18 11:30:00,7.938,26.419,13.950,9.630,7.980
96,20-Nov-18 11:45:00,7.875,26.413,13.920,9.590,7.980
97,20-Nov-18 12:00:00,7.938,26.415,13.920,9.570,7.970
98,20-Nov-18 12:15:00,7.938,26.417,13.950,9.550,7.980
99,20-Nov-18 12:30:00,7.938,26.415,13.920,9.540,7.980
100,20-Nov-18 12:45:00,7.938,26.407,13.891,9.520,7.980
101,20-Nov-18 13:00:00,7.875,26.409,13.891,9.550,7.980
102,20-Nov-18 13:15:00,7.938,26.407,13.950,9.570,7.980
103,20-Nov-18 13:30:00,7.938,26.411,13.920,9.560,7.990
104,20-Nov-18 13:45:00,7.938,26.413,13.891,9.530,7.990
105,20-Nov-18 14:00:00,7.938,26.410,13.950,9.550,7.980
106,20-Nov-18 14:15:00,7.938,26.415,13.950,9.570,7.990
107,20-Nov-18 14:30:00,7.938,26.422,13.861,9.580,7.990
108,20-Nov-18 14:45:00,7.938,26.426,13.920,9.580,8.000
109,20-Nov-18 15:00:00,7.938,26.427,13.920,9.600,8.000
110,20-Nov-18 15:15:00,7.938,26.421,13.920,9.570,7.990
111,20-Nov-18 15:30:00,7.938,26.427,13.592,9.580,7.990
112,20-Nov-18 15:45:00,7.938,26.428,13.533,9.580,7.990
113,20-Nov-18 16:00:00,7.938,26.432,13.473,9.540,8.000
114,20-Nov-18 16:15:00,7.938,26.431,13.354,9.560,7.990
115,20-Nov-18 16:30:00,7.938,26.436,13.324,9.550,7.990
116,20-Nov-18 16:45:00,7.875,26.433,13.086,9.520,7.990
117,20-Nov-18 17:00:00,7.938,26.440,13.056,9.540,7.990
118,20-Nov-18 17:15:00,7.938,26.446,13.026,9.520,7.990
119,20-Nov-18 17:30:00,7.875,26.445,13.026,9.510,7.990
120,20-Nov-18 17:45:00,7.938,26.449,13.026,9.520,7.990
121,20-Nov-18 18:00:00,7.938,26.446,13.026,9.500,7.990
122,20-Nov-18 18:15:00,7.938,26.449,12.996,9.520,7.980
123,20-Nov-18 18:30:00,7.875,26.452,12.996,9.540,7.990
124,20-Nov-18 18:45:00,7.938,26.449,12.937,9.530,7.980
125,20-Nov-18 19:00:00,7.875,26.450,12.907,9.540,7.990
126,20-Nov-18 19:15:00,7.938,26.451,12.907,9.520,7.990
127,20-Nov-18 19:30:00,7.938,26.446,12.907,9.500,7.990
128,20-Nov-18 19:45:00,7.938,26.461,12.966,9.520,8.000
129,20-Nov-18 20:00:00,7.938,26.467,12.966,9.560,7.990
130,20-Nov-18 20:15:00,7.938,26.467,12.877,9.530,7.990
131,20-Nov-18 20:30:00,7.938,26.469,12.907,9.510,7.990
132,20-Nov-18 20:45:00,7.938,26.459,12.937,9.510,7.990
133,20-Nov-18 21:00:00,7.938,26.465,12.937,9.510,7.990
134,20-Nov-18 21:15:00,7.938,26.467,12.847,9.530,8.000
135,20-Nov-18 21:30:00,7.938,26.469,12.877,9.510,7.980
136,20-Nov-18 21:45:00,7.938,26.468,12.907,9.510,8.000
137,20-Nov-18 22:00:00,7.938,26.474,12.907,9.500,7.990
138,20-Nov-18 22:15:00,7.938,26.475,12.907,9.490,8.000
139,20-Nov-18 22:30:00,7.938,26.476,12.817,9.490,7.990
140,20-Nov-18 22:45:00,7.938,26.471,12.907,9.460,7.990
141,20-Nov-18 23:00:00,7.938,26.475,12.937,9.470,8.000
142,20-Nov-18 23:15:00,7.938,26.471,12.907,9.470,8.010
143,20-Nov-18 23:30:00,7.938,26.471,12.817,9.490,8.000
144,20-Nov-18 23:45:00,7.938,26.478,12.907,9.470,8.000
145,21-Nov-18 00:00:00,7.938,26.473,12.907,9.490,8.010
146,21-Nov-18 00:15:00,7.938,26.469,12.877,9.460,8.010
147,21-Nov-18 00:30:00,7.938,26.467,12.847,9.480,8.000
148,21-Nov-18 00:45:00,7.938,26.465,12.877,9.470,8.000
149,21-Nov-18 01:00:00,7.938,26.465,12.877,9.480,8.010
150,21-Nov-18 01:15:00,7.938,26.467,12.877,9.470,8.000
151,21-Nov-18 01:30:00,7.938,26.470,12.788,9.470,8.000
152,21-Nov-18 01:45:00,7.938,26.462,12.847,9.450,8.010
153,21-Nov-18 02:00:00,7.938,26.466,12.877,9.460,8.010
154,21-Nov-18 02:15:00,7.938,26.458,12.788,9.460,8.000
155,21-Nov-18 02:30:00,7.938,26.465,12.817,9.470,8.010
156,21-Nov-18 02:45:00,7.938,26.470,12.788,9.460,8.010
157,21-Nov-18 03:00:00,7.938,26.466,12.847,9.480,8.000
158,21-Nov-18 03:15:00,7.938,26.449,12.788,9.490,8.010
159,21-Nov-18 03:30:00,7.938,26.456,12.847,9.500,8.000
160,21-Nov-18 03:45:00,7.938,26.455,12.758,9.510,8.000
161,21-Nov-18 04:00:00,7.938,26.455,12.758,9.500,8.010
162,21-Nov-18 04:15:00,7.938,26.454,12.758,9.470,8.000
163,21-Nov-18 04:30:00,7.938,26.465,12.728,9.470,8.010
164,21-Nov-18 04:45:00,7.938,26.449,12.728,9.470,8.000
165,21-Nov-18 05:00:00,7.938,26.462,12.698,9.470,8.010
166,21-Nov-18 05:15:00,7.938,26.454,12.728,9.480,8.010
167,21-Nov-18 05:30:00,7.938,26.461,12.728,9.460,8.010
168,21-Nov-18 05:45:00,7.938,26.461,12.698,9.450,8.010
169,21-Nov-18 06:00:00,8.000,26.462,12.698,9.440,8.010
170,21-Nov-18 06:15:00,8.063,26.462,12.698,9.430,8.020
171,21-Nov-18 06:30:00,8.063,26.461,12.758,9.440,8.070
172,21-Nov-18 06:45:00,8.063,26.458,12.698,9.640,8.110
173,21-Nov-18 07:00:00,8.063,26.466,12.698,9.760,8.130
174,21-Nov-18 07:15:00,8.063,26.463,12.668,9.760,8.080
175,21-Nov-18 07:30:00,8.063,26.464,12.639,9.580,8.070
176,21-Nov-18 07:45:00,8.000,26.473,12.698,9.600,8.070
177,21-Nov-18 08:00:00,8.063,26.479,12.639,9.830,8.090
178,21-Nov-18 08:15:00,8.000,26.476,12.758,9.930,8.100
179,21-Nov-18 08:30:00,8.000,26.479,12.788,9.930,8.100
180,21-Nov-18 08:45:00,8.000,26.478,12.847,9.950,8.080
181,21-Nov-18 09:00:00,8.000,26.478,13.056,9.950,8.060
182,21-Nov-18 09:15:00,8.000,26.484,13.145,9.940,8.070
183,21-Nov-18 09:30:00,8.000,26.482,13.205,9.940,8.080
184,21-Nov-18 09:45:00,8.000,26.479,13.294,9.950,8.090
185,21-Nov-18 10:00:00,8.000,26.478,13.414,9.960,8.100
186,21-Nov-18 10:15:00,8.063,26.477,13.443,9.920,8.120
187,21-Nov-18 10:30:00,8.063,26.477,13.473,9.920,8.120
188,21-Nov-18 10:45:00,8.063,26.475,13.622,9.920,8.110
189,21-Nov-18 11:00:00,8.063,26.478,13.861,9.910,8.110
190,21-Nov-18 11:15:00,8.063,26.474,13.920,9.920,8.100
191,21-Nov-18 11:30:00,8.000,26.472,13.891,9.910,8.100
192,21-Nov-18 11:45:00,8.000,26.475,13.891,9.890,8.070
193,21-Nov-18 12:00:00,8.000,26.470,13.861,9.740,8.060
194,21-Nov-18 12:15:00,8.000,26.468,13.920,9.680,8.070
195,21-Nov-18 12:30:00,8.000,26.456,13.920,9.700,8.060
196,21-Nov-18 12:45:00,8.000,26.453,13.920,9.640,8.060
197,21-Nov-18 13:00:00,8.000,26.458,13.861,9.810,8.060
198,21-Nov-18 13:15:00,8.000,26.463,13.920,9.640,8.060
199,21-Nov-18 13:30:00,8.000,26.453,13.891,9.690,8.070
200,21-Nov-18 13:45:00,8.000,26.454,13.891,9.710,8.070
201,21-Nov-18 14:00:00,8.000,26.458,13.891,9.750,8.060
202,21-Nov-18 14:15:00,8.000,26.447,13.950,9.790,8.070
203,21-Nov-18 14:30:00,8.000,26.451,13.950,9.800,8.070
204,21-Nov-18 14:45:00,8.000,26.455,13.891,9.810,8.060
205,21-Nov-18 15:00:00,8.000,26.460,13.950,9.780,8.070
206,21-Nov-18 15:15:00,8.000,26.457,13.950,9.760,8.070
207,21-Nov-18 15:30:00,8.000,26.453,13.414,9.750,8.070
208,21-Nov-18 15:45:00,8.000,26.451,13.801,9.760,8.060
209,21-Nov-18 16:00:00,8.000,26.450,13.235,9.700,8.080
210,21-Nov-18 16:15:00,8.000,26.463,13.235,9.710,8.070
211,21-Nov-18 16:30:00,8.000,26.459,13.145,9.750,8.040
212,21-Nov-18 16:45:00,8.000,26.460,13.145,9.710,8.060
213,21-Nov-18 17:00:00,8.000,26.458,13.056,9.680,8.030
214,21-Nov-18 17:15:00,8.000,26.454,12.996,9.700,7.990
215,21-Nov-18 17:30:00,8.000,26.469,13.026,9.730,7.960
216,21-Nov-18 17:45:00,7.938,26.463,12.966,9.740,7.940
217,21-Nov-18 18:00:00,7.938,26.469,12.937,9.730,7.990
218,21-Nov-18 18:15:00,7.875,26.481,13.026,9.740,7.970
219,21-Nov-18 18:30:00,7.938,26.477,12.937,9.730,7.990
220,21-Nov-18 18:45:00,7.938,26.473,12.937,9.730,7.960
221,21-Nov-18 19:00:00,7.938,26.469,12.877,9.740,7.940
222,21-Nov-18 19:15:00,7.938,26.468,12.877,9.690,7.950
223,21-Nov-18 19:30:00,7.875,26.460,12.907,9.720,7.940
224,21-Nov-18 19:45:00,9.188,26.495,12.758,9.810,7.980
225,21-Nov-18 20:00:00,7.938,26.476,12.877,9.780,7.920
226,21-Nov-18 20:15:00,7.875,26.476,12.907,9.720,7.900
227,21-Nov-18 20:30:00,7.875,26.484,12.907,9.710,7.910
228,21-Nov-18 20:45:00,7.875,26.459,12.847,9.740,7.920
229,21-Nov-18 21:00:00,7.875,26.486,12.966,9.760,7.900
230,21-Nov-18 21:15:00,7.875,26.482,12.877,9.790,7.930
231,21-Nov-18 21:30:00,7.938,26.486,12.877,9.780,7.960
232,21-Nov-18 21:45:00,8.063,26.479,12.877,9.760,8.130
233,21-Nov-18 22:00:00,8.063,26.485,12.877,9.970,8.160
234,21-Nov-18 22:15:00,8.063,26.489,12.847,10.010,8.170
235,21-Nov-18 22:30:00,8.063,26.488,12.877,10.020,8.170
236,21-Nov-18 22:45:00,8.125,26.491,12.847,10.050,8.160
237,21-Nov-18 23:00:00,8.063,26.492,12.817,10.030,8.020
238,21-Nov-18 23:15:00,8.063,26.502,12.847,9.870,8.110
239,21-Nov-18 23:30:00,8.063,26.500,12.877,9.950,8.130
