
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,DO_8m_20190208,,Exported,"Aqua4Plus 1.9.10"
# Records,  3631 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,4.250,26.193,12.639,11.020,4.130,
,Maximum,6.813,26.722,14.010,13.210,6.290,
,Mean,5.104,26.457,13.220,12.088,5.058,
,Variance,0.1800,0.0102,0.2307,0.2508,0.1533,
,Std Deviation,0.4242,0.1008,0.4803,0.5008,0.3915,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,8-Feb-19 15:00:00,4.313,26.438,13.831,12.620,4.130
2,8-Feb-19 15:15:00,4.313,26.456,13.771,12.610,4.150
3,8-Feb-19 15:30:00,4.250,26.445,13.622,12.690,4.210
4,8-Feb-19 15:45:00,4.313,26.461,13.712,12.790,4.310
5,8-Feb-19 16:00:00,4.375,26.459,13.891,12.910,4.370
6,8-Feb-19 16:15:00,4.563,26.442,13.920,12.950,4.520
7,8-Feb-19 16:30:00,4.563,26.452,13.592,13.030,4.630
8,8-Feb-19 16:45:00,4.688,26.437,13.592,13.110,4.750
9,8-Feb-19 17:00:00,4.688,26.463,13.533,13.210,4.420
10,8-Feb-19 17:15:00,4.688,26.467,13.503,12.880,4.470
11,8-Feb-19 17:30:00,4.688,26.464,13.265,12.970,4.470
12,8-Feb-19 17:45:00,4.688,26.475,13.116,12.980,4.500
13,8-Feb-19 18:00:00,4.625,26.492,13.086,13.060,4.490
14,8-Feb-19 18:15:00,4.563,26.497,13.026,13.080,4.320
15,8-Feb-19 18:30:00,4.438,26.494,13.026,12.810,4.260
16,8-Feb-19 18:45:00,4.313,26.490,12.966,12.580,4.240
17,8-Feb-19 19:00:00,4.313,26.474,12.996,12.580,4.270
18,8-Feb-19 19:15:00,4.375,26.490,12.937,12.710,4.290
19,8-Feb-19 19:30:00,4.375,26.508,12.966,12.720,4.270
20,8-Feb-19 19:45:00,4.313,26.491,12.966,12.560,4.240
21,8-Feb-19 20:00:00,4.313,26.500,12.937,12.470,4.250
22,8-Feb-19 20:15:00,4.313,26.473,12.907,12.370,4.260
23,8-Feb-19 20:30:00,4.313,26.531,12.937,12.370,4.290
24,8-Feb-19 20:45:00,4.313,26.526,12.937,12.470,4.310
25,8-Feb-19 21:00:00,4.313,26.509,12.937,12.500,4.320
26,8-Feb-19 21:15:00,4.375,26.507,12.877,12.610,4.320
27,8-Feb-19 21:30:00,4.375,26.502,12.907,12.610,4.300
28,8-Feb-19 21:45:00,4.313,26.539,12.907,12.570,4.290
29,8-Feb-19 22:00:00,4.375,26.526,12.877,12.580,4.280
30,8-Feb-19 22:15:00,4.500,26.530,12.877,12.620,4.360
31,8-Feb-19 22:30:00,5.125,26.548,12.877,12.620,5.360
32,8-Feb-19 22:45:00,5.500,26.549,12.877,12.770,5.420
33,8-Feb-19 23:00:00,5.563,26.544,12.847,12.890,4.510
34,8-Feb-19 23:15:00,5.563,26.549,12.877,12.700,4.490
35,8-Feb-19 23:30:00,4.938,26.546,12.877,12.540,4.330
36,8-Feb-19 23:45:00,4.500,26.529,12.847,12.450,4.310
37,9-Feb-19 00:00:00,4.438,26.553,12.877,12.380,4.340
38,9-Feb-19 00:15:00,4.938,26.544,12.817,12.430,4.330
39,9-Feb-19 00:30:00,5.313,26.539,12.817,12.430,4.440
40,9-Feb-19 00:45:00,5.375,26.556,12.817,12.830,4.600
41,9-Feb-19 01:00:00,5.563,26.560,12.817,12.720,4.620
42,9-Feb-19 01:15:00,5.563,26.541,12.788,12.850,4.460
43,9-Feb-19 01:30:00,5.500,26.564,12.817,12.890,4.560
44,9-Feb-19 01:45:00,5.500,26.565,12.817,12.830,4.590
45,9-Feb-19 02:00:00,5.563,26.550,12.788,12.700,4.840
46,9-Feb-19 02:15:00,5.563,26.558,12.788,12.820,5.200
47,9-Feb-19 02:30:00,5.500,26.566,12.788,12.840,5.410
48,9-Feb-19 02:45:00,5.500,26.550,12.758,12.820,5.440
49,9-Feb-19 03:00:00,5.438,26.564,12.788,12.890,5.010
50,9-Feb-19 03:15:00,5.438,26.571,12.758,12.900,4.760
51,9-Feb-19 03:30:00,5.375,26.566,12.758,12.910,4.640
52,9-Feb-19 03:45:00,5.313,26.583,12.728,12.890,4.540
53,9-Feb-19 04:00:00,5.313,26.573,12.758,12.590,4.430
54,9-Feb-19 04:15:00,5.250,26.572,12.728,12.520,4.460
55,9-Feb-19 04:30:00,5.313,26.574,12.728,12.640,4.570
56,9-Feb-19 04:45:00,5.375,26.579,12.728,12.740,5.040
57,9-Feb-19 05:00:00,5.438,26.572,12.728,12.750,5.470
58,9-Feb-19 05:15:00,5.438,26.588,12.728,12.820,5.400
59,9-Feb-19 05:30:00,5.500,26.580,12.728,12.750,5.510
60,9-Feb-19 05:45:00,5.500,26.553,12.728,12.790,5.500
61,9-Feb-19 06:00:00,5.500,26.595,12.728,12.820,5.510
62,9-Feb-19 06:15:00,5.438,26.592,12.698,12.820,5.500
63,9-Feb-19 06:30:00,5.438,26.590,12.728,12.900,4.890
64,9-Feb-19 06:45:00,5.375,26.607,12.698,12.710,5.300
65,9-Feb-19 07:00:00,5.375,26.597,12.728,12.770,5.240
66,9-Feb-19 07:15:00,5.375,26.593,12.698,12.770,5.340
67,9-Feb-19 07:30:00,5.375,26.604,12.698,12.760,5.390
68,9-Feb-19 07:45:00,5.375,26.599,12.728,12.810,5.400
69,9-Feb-19 08:00:00,5.375,26.601,12.817,12.830,5.410
70,9-Feb-19 08:15:00,5.375,26.625,12.996,12.850,5.370
71,9-Feb-19 08:30:00,5.375,26.641,13.443,12.800,5.350
72,9-Feb-19 08:45:00,5.313,26.634,13.861,12.770,5.260
73,9-Feb-19 09:00:00,5.313,26.633,13.920,12.780,5.280
74,9-Feb-19 09:15:00,5.313,26.653,13.891,12.740,5.290
75,9-Feb-19 09:30:00,5.313,26.633,13.920,12.770,5.290
